,name,ticker,platform_raise,coingecko_id,coingecko_numerical_id,tge_date
0,Gamium,GMM,200000,gamium,22749,2022-03
1,ChainPort,PORTX,4000000,chainport,no-id,
2,AdaSwap,ASW,195000,adaswap,24453,2022-04
3,Step.app,FITFI,2750000,step-app-fitfi,25015,2022-04
4,DragonSB,SB,195000,dragonsb,23738,2022-03
5,DeFiato,DFIAT,600000,defiato,13386,2020-12
6,Spellfire,SPELLFIRE,245000,spellfire,23107,2022-01
7,BBS Network,BBS,550000,bbs-network,23715,2022-02
8,Hubble,"$HBB, $USDH",1500000,hubble,22070,2022-01
9,Fantom Maker,FAME,95000,fantom-maker,24086,2022-03
10,Infinity Skies,ISKY,200000,infinity-skies,22583,2022-01
11,Ftribe Fighters,F2C,95000,ftribe-fighters,22250,2022-01
12,Meta Gaming Guild,No ticket found through transform function,195000,metagaming-guild,23287,2022-02
13,MetaGods,MGOD,95000,metagods,21666,2021-12
14,Forward Protocol,FORWARD,95000,forward,no-id,
15,WAM,WAM,280000,wam,21576,2021-12
16,Solice,SLC,95000,solice,22115,2022-01
17,KingdomX,KT,115000,kingdomx,23411,2022-02
18,1Sol,No ticket found through transform function,147000,1sol,21615,2021-12
19,Prometheus,MGA,245000,metagame-arena,20947,2021-11
20,Street Runner,SRG,230000,default,default,
21,Symbiosis Finance,SIS,435000,symbiosis-finance,20805,2021-12
22,Meta Soccer,MSU,295000,metasoccer,21670,2021-12
23,ShopNEXT,NEXT,130000,shopnext,21116,2021-12
24,BitLocus,BTL,145000,bitlocus,20913,2021-12
25,Titan Hunters,TITA,95000,titan-hunters,20588,2021-11
26,KAKA NFT,KAKA,145000,kaka-nft-world,20877,2021-11
27,Victoria VR,VR,100000,victoria-vr,21178,2021-12
28,Bemil Coin,BEM,95000,bemil-coin,20896,2021-11
29,Polygonum Online,POG,115000,pog-coin,21053,2021-11
30,Blockasset,BLOCK,105000,blockasset,21332,2021-12
31,YIN Finance,YIN,235000,yin-finance,18272,2021-11
32,Resource Finance,SOURCE,1220000,resource-protocol,20740,2021-11
33,Numbers Protocol,NUM,1195000,numbers-protocol,20495,2021-11
34,Demole,DMLG,95000,demole,19195,2021-10
35,Clearpool,CPOOL,95000,clearpool,19252,2021-10
36,Envoy,ENV,125000,envoy-network,19631,2021-11
37,Warena,RENA,95000,warena,18888,2021-10
38,Three Kingdoms,TTK,175000,the-three-kingdoms,18948,2021-10
39,Dark Frontiers,No ticket found through transform function,120000,dark-frontiers,18856,2021-10
40,Heroes & Empires,HE,120000,heroes-empires,18903,2021-10
41,Orion Money,ORION,445000,orion-money,18630,2021-09
