,name,ticker,coingecko_id,coingecko_numerical_id
0,AdaSwap,ASW,adaswap,24453
1,Gamium,GMM,gamium,22749
2,ChainPort,PORTX,chainport,no-id
3,Step.app,FITFI,step-app-fitfi,25015
4,DragonSB,SB,dragonsb,23738
5,DeFiato,DFIAT,defiato,13386
6,Spellfire,SPELLFIRE,spellfire,23107
7,BBS Network,BBS,bbs-network,23715
8,Hubble,"$HBB, $USDH",hubble,22070
9,Fantom Maker,FAME,fantom-maker,24086
10,Infinity Skies,ISKY,infinity-skies,22583
11,Ftribe Fighters,F2C,ftribe-fighters,22250
12,Meta Gaming Guild,No ticket found through transform function,metagaming-guild,23287
13,MetaGods,MGOD,metagods,21666
14,Forward Protocol,FORWARD,forward,no-id
15,WAM,WAM,wam,21576
16,Solice,SLC,solice,22115
17,KingdomX,KT,kingdomx,23411
18,1Sol,No ticket found through transform function,1sol,21615
19,Prometheus,MGA,metagame-arena,20947
20,Street Runner,SRG,default,default
21,Symbiosis Finance,SIS,symbiosis-finance,20805
22,Meta Soccer,MSU,metasoccer,21670
23,ShopNEXT,NEXT,shopnext,21116
24,BitLocus,BTL,bitlocus,20913
25,Titan Hunters,TITA,titan-hunters,20588
26,KAKA NFT,KAKA,kaka-nft-world,20877
27,Victoria VR,VR,victoria-vr,21178
28,Bemil Coin,BEM,bemil-coin,20896
29,Polygonum Online,POG,pog-coin,21053
30,Blockasset,BLOCK,blockasset,21332
31,YIN Finance,YIN,yin-finance,18272
32,Resource Finance,SOURCE,resource-protocol,20740
33,Numbers Protocol,NUM,numbers-protocol,20495
34,Demole,DMLG,demole,19195
35,Clearpool,CPOOL,clearpool,19252
36,Envoy,ENV,envoy-network,19631
37,Warena,RENA,warena,18888
38,Three Kingdoms,TTK,the-three-kingdoms,18948
39,Dark Frontiers,No ticket found through transform function,dark-frontiers,18856
40,Heroes & Empires,HE,heroes-empires,18903
41,Orion Money,ORION,orion-money,18630
42,NFTrade,NFTD,nftrade,18578
43,GameFi,GAFI,gamefi,18292
44,Snook,SNK,snook,18197
45,Kaby Arena,KABY,kaby-arena,18090
46,Marnotaur,TAUR,marnotaur,18655
47,Chronicle,XNL,chronicle,18413
48,Brokoli,BRKL,brokoli,18763
49,Coinspaid,CPD,coinspaid,18092
50,DinoX,DNXC,dinox,17321
51,DeRace,DERC,derace,17438
52,Vent Finance,VENT,vent-finance,17925
53,Infinity Pad,IPAD,infinity-pad,17302
54,Opulous,OPUL,opulous,16548
55,Formation Fi,FORM,formation-fi,16145
56,Gamestarter,GAME,gamestarter,17604
57,Pera Finance,PERA,pera-finance,16185
58,OpenOcean,OOE,openocean,17014
59,delta.theta,DLTA,delta-theta,15697
60,Lossless Protocol,LSS,lossless,15917
61,Ternoa,CAPS,coin-capsule,15921
62,Spherium,SPHRI,spherium,17787
63,LaunchX,LNCHX,launchx,15494
64,Gold Fever,NGL,gold-fever-native-gold,20633
65,Knit Finance,KFT,knit-finance,15632
66,Fear,FEAR,fear,15825
67,IOI,No ticket found through transform function,ioi-token,15952
68,EPIK Prime,EPIK,epik-prime,17907
69,Lever Network,LEV,lever-network,15323
70,XCAD Network,XCAD,xcad-network,15857
71,MakiSwap,MAKI,makiswap,16051
72,Ispolink,	ISP,ispolink,15283
73,Sienna,SIENNA / wSIENNA,sienna,15196
74,Legends Of Crypto,LOCG,locgame,15175
75,Crypto Prophecies,TCP,the-crypto-prophecies,15054
76,Smoothy Finance,SMTY,smoothy,15039
77,MOCHI,MOMA,mochi-market,14993
78,Hord,HORD,hord,14972
79,Showcase,SHO,showcase-token,15084
80,Cere Network,CERE,cere-network,20008
81,Crowny,CRWNY,crowny-token,14958
82,Alphr,$ALPHR,alphr,15029
83,ORAO,ORAO,orao-network,15189
84,HAPI,HAPI,hapi,14298
85,Aluna Social,ALUNA (ALN),aluna,14379
86,Dafi Protocol,DAFI,dafi-protocol,14428
87,Yield Protocol,YIELD,yield-protocol,14220
88,Xend Finance,XEND,xend-finance,14496
89,VAIOT,VAI,vaiot,13981
90,My Neighbor Alice,ALICE,my-neighbor-alice,14375
91,Seascape,CROWNS (CWS),crowns,13835
92,DAO Maker,DAO,dao-maker,13915
93,AnRKey X™,ANRX,anrkey-x,13415
94,PlotX,No ticket found through transform function,plotx,12795
95,DeFiner,No ticket found through transform function,definer,12780
96,OpenPredict,No ticket found through transform function,open-predict-token,no-id
97,Orion Protocol,No ticket found through transform function,orion-protocol,11841
